customer,External ID,license number,order_date,orderID,customer_po,start_ship_date,bill_street,bill_street2,bill_city,bill_state,bill_postcode,bill_country,ship_street,ship_street2,ship_city,ship_state,ship_postcode,ship_country,phone,fax,email,contact,rep,cancel_date,ship_method,notes,sku,brand,product_line,Qty (Units),Qty (Cases),product,sale_price,is_sample,customer_external_id,payment_terms,payment_methods,original_sale_price,source,manual,externalOrderID,original_unit_price,status,line_item_total,strain,strain_classification,category,service_zone,unit_price,paid,paid_date,paid_approver,custom_menu_price,production_batch_number,created_by,buyer_paid,delivered_date,sub_category,unit_of_measure,base_units_per_unit,Facility
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-HYB-CHRNBYL-39623-04142022,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,10.0000,1,Chernobyl Live Resin,$70.00,False,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$70.00,Chernobyl,Hybrid,Concentrates,,$110.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-SAT-CHCOBNG-39793-05262022,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,10.0000,1,Chocobang Live Resin,$70.00,False,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$70.00,Chocobang,Sativa,Concentrates,,$110.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-IND-DJSHRTBLUBRRY-36970-061322,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,20.0000,2,DJ Short Blueberry Live Resin,$70.00,False,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$140.00,DJ Short Blueberry,Indica,Concentrates,,$110.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR2-SAT-GUAVA-39925-05262022,Sitka Northwest,Disco Dabs - Live Resin | 2 grams,10.0000,1,Guava Live Resin | 2 grams,$140.00,False,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$150.00,Fulfilled,$140.00,Guava,Sativa,Concentrates,,$150.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR2-IND-PINKCOOKIES-39669-060322,Sitka Northwest,Disco Dabs - Live Resin | 2 grams,10.0000,1,Pink Cookies Live Resin | 2 grams,$140.00,False,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$150.00,Fulfilled,$140.00,Pink Cookies,Indica,Concentrates,,$150.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-IND-DJSHRTBLUBRRY-36970-061322,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,1.0000,0.1,DJ Short Blueberry Live Resin,$0.00,True,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$0.00,DJ Short Blueberry,Indica,Concentrates,,$0.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-SAT-ALNSRAPPL-39790-05262022,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,1.0000,0.1,Alien Sour Apple Live Resin,$0.00,True,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$0.00,Alien Sour Apple,Sativa,Concentrates,,$0.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-HYB-CBRACOOKIES-39926-061322,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,1.0000,0.1,Cobra Cookies Live Resin,$0.00,True,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$0.00,Cobra Cookies,Hybrid,Concentrates,,$0.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-HYB-HDBND-39590-04132022,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,1.0000,0.1,Headband Live Resin,$0.00,True,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$0.00,Headband,Hybrid,Concentrates,,$0.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
Rose Budz PDX,0004322128,050-10168108EB5,2022-06-16 12:29 PM,fe34ca6a,,2022-07-01,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,2410 N Mississippi Ave,,Portland,OR,97227,United States of America,,,sitkadelivers@gmail.com,Josh Koenigsberg,Josh Koenigsberg,,Delivery 10a-12p,,DISCO-LR-HYB-BLUBRRYPIE-39455-04132022,Sitka Northwest,Disco Dabs - Live Resin | 1 gram,1.0000,0.1,Blueberry Pie Live Resin,$0.00,True,,Net 30 (Payment due 30 days after invoice date),Cash,,leaflink,True,0004322128,$110.00,Fulfilled,$0.00,Blueberry Pie,Hybrid,Concentrates,,$0.00,False,,,,,Josh Koenigsberg,False,,Live Resin,Unit,1 Unit,Warehouse 01
